ID_ARCs_Master	From_ID_Master_Node	To_ID_Master_Node	Infra_From	Infra_To	Power_Capacity	Definition
1528	3013	8031	Power	Water	1000	CF_Dist_Line
1529	3012	8041	Power	Water	1000	CF_Dist_Line
1530	3012	8012	Power	Water	1000	CF_Dist_Line
1531	3012	8042	Power	Water	1000	CF_Dist_Line
1532	3012	8043	Power	Water	1000	CF_Dist_Line
1533	3012	8032	Power	Water	1000	CF_Dist_Line
1534	2506	8507	Power	Water	1000	CF_Dist_Line
1535	2502	8044	Power	Water	1000	CF_Dist_Line
1536	2503	8007	Power	Water	1000	CF_Dist_Line
1537	2513	8011	Power	Water	1000	CF_Dist_Line
1538	2513	8009	Power	Water	1000	CF_Dist_Line
1539	2503	8037	Power	Water	1000	CF_Dist_Line
1540	2509	8505	Power	Water	1000	CF_Dist_Line
1541	2509	8001	Power	Water	1000	CF_Dist_Line
1542	2509	8025	Power	Water	1000	CF_Dist_Line
1543	3015	8051	Power	Water	1000	CF_Dist_Line
1544	3015	8063	Power	Water	1000	CF_Dist_Line
1545	3015	8014	Power	Water	1000	CF_Dist_Line
1546	3015	8504	Power	Water	1000	CF_Dist_Line
1547	2512	8049	Power	Water	1000	CF_Dist_Line
